order_month,Shipping Mode,order_volume,avg_latency_gap,sla_breach_rate
2016-03,Same Day,272,0.51,50.74
2016-03,Second Class,976,2.08,78.59
2016-03,Standard Class,3087,-0.04,37.8
2016-04,First Class,774,1.0,95.99
2016-04,Same Day,255,0.45,44.71
2016-04,Second Class,1004,2.0,78.59
2016-04,Standard Class,3064,0.02,38.15
2016-05,First Class,838,1.0,94.87
2016-05,Same Day,320,0.42,41.56
2016-05,Second Class,1078,1.99,79.78
2016-05,Standard Class,3066,0.01,37.93
2016-06,First Class,745,1.0,96.91
2016-06,Same Day,270,0.56,53.7
2016-06,Second Class,1107,2.03,76.87
2016-06,Standard Class,2932,0.03,39.39
2016-07,First Class,835,1.0,92.57
2016-07,Same Day,334,0.31,30.84
2016-07,Second Class,960,2.0,73.54
2016-07,Standard Class,3176,-0.01,36.93
2016-08,First Class,813,1.0,96.43
2016-08,Same Day,256,0.61,61.33
2016-08,Second Class,1058,1.84,74.67
2016-08,Standard Class,3207,-0.04,37.95
2016-09,First Class,838,1.0,95.82
2016-09,Same Day,287,0.36,35.54
2016-09,Second Class,966,2.04,76.5
2016-09,Standard Class,3069,0.0,38.87
2016-10,First Class,857,1.0,98.6
2016-10,Same Day,341,0.4,39.3
2016-10,Second Class,1030,1.9,72.82
2016-10,Standard Class,3170,0.03,38.74
2016-11,First Class,771,1.0,95.72
2016-11,Same Day,274,0.47,40.51
2016-11,Second Class,1033,2.11,79.67
2016-11,Standard Class,3132,-0.03,37.48
2016-12,First Class,973,1.0,95.27
2016-12,Same Day,234,0.47,46.58
2016-12,Second Class,919,1.91,78.02
2016-12,Standard Class,3143,0.03,38.21
2017-01,First Class,667,1.0,95.8
2017-01,Same Day,267,0.54,48.31
2017-01,Second Class,1000,1.98,78.0
2017-01,Standard Class,3283,0.01,38.04
2017-02,First Class,717,1.0,94.98
2017-02,Same Day,303,0.53,50.5
2017-02,Second Class,977,2.05,74.51
2017-02,Standard Class,2909,0.01,38.5
2017-03,First Class,864,1.0,94.68
2017-03,Same Day,295,0.58,54.92
2017-03,Second Class,999,2.0,75.68
2017-03,Standard Class,3189,-0.0,38.23
2017-04,First Class,749,1.0,94.93
2017-04,Same Day,243,0.38,33.74
2017-04,Second Class,1055,1.96,74.88
2017-04,Standard Class,3165,0.02,38.55
2017-05,First Class,916,1.0,91.16
2017-05,Same Day,277,0.47,43.68
2017-05,Second Class,950,1.92,74.95
2017-05,Standard Class,3174,0.0,37.02
2017-06,First Class,733,1.0,96.86
2017-06,Same Day,238,0.52,48.74
2017-06,Second Class,908,1.86,69.82
2017-06,Standard Class,3072,0.0,38.7
2017-07,First Class,778,1.0,95.12
2017-07,Same Day,368,0.58,57.34
2017-07,Second Class,1083,2.01,77.93
2017-07,Standard Class,3089,-0.02,36.19
2017-08,First Class,832,1.0,94.23
2017-08,Same Day,275,0.5,47.27
2017-08,Second Class,1112,2.08,79.59
2017-08,Standard Class,3086,-0.01,38.72
2017-09,First Class,790,1.0,93.54
2017-09,Same Day,282,0.64,59.93
2017-09,Second Class,1027,1.93,75.85
2017-09,Standard Class,3090,-0.06,36.47
2017-10,First Class,352,1.0,96.02
2017-10,Same Day,110,0.46,44.55
2017-10,Second Class,418,2.02,75.84
2017-10,Standard Class,1375,-0.03,36.8
2017-11,First Class,310,1.0,94.84
2017-11,Same Day,107,0.54,49.53
2017-11,Second Class,411,2.02,76.64
2017-11,Standard Class,1227,-0.0,38.3
2017-12,First Class,313,1.0,92.65
2017-12,Same Day,130,0.63,60.77
2017-12,Second Class,416,2.0,77.88
2017-12,Standard Class,1265,-0.0,37.87
2018-01,First Class,328,1.0,97.87
2018-01,Same Day,120,0.45,41.67
2018-01,Second Class,445,2.0,77.08
2018-01,Standard Class,1230,0.02,39.11
